Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,DayDiff,positive_close,gain,DivToPrice,month,week,weekday,predict,Gain
2007-09-07,0.755,1.0,0.031121187,TY,2007-08-20,AMC,https://www.stockwatch.com/News/Item/U-b005911-U!TY-20070820/U/TY,https://www.stockwatch.com/Quote/Fundamentals?U:TY,23.0,23.0,24.35,22.96,24.26,23.3,158610.0,18,1,0.05478260869565221,3.28,8,34,0,0.8033417780539753,1.0547826086956522
2007-09-26,0.75,1.0,0.022013502,RWT,2007-08-22,AMC,https://www.stockwatch.com/News/Item/U-b005947-U!RWT-20070822/U/RWT,https://www.stockwatch.com/Quote/Fundamentals?U:RWT,38.45,41.69,43.03,32.1,34.07,33.9,1665945.0,35,0,-0.1827776445190693,1.95,8,34,2,0.21005191952156815,0.8172223554809307
2007-09-05,0.92,1.0,0.022004305,ACAS,2007-08-22,BMO,https://www.stockwatch.com/News/Item/U-pNEW002-U!ACAS-20070822/U/ACAS,https://www.stockwatch.com/Quote/Fundamentals?U:ACAS,40.72,40.51,42.18,39.06,41.81,41.0,4074215.0,14,1,0.03209084176746502,2.26,8,34,2,0.7716099261336515,1.032090841767465
2007-09-13,0.6,1.0,0.032840722,CSE,2007-09-05,AMC,https://www.stockwatch.com/News/Item/U-pNEW133-U!CSE-20070905/U/CSE,https://www.stockwatch.com/Quote/Fundamentals?U:CSE,17.75,17.8,18.3,15.69,18.27,17.92,3495930.0,8,1,0.026404494382022303,3.38,9,36,2,0.7232736533967541,1.0264044943820223
2007-09-17,0.3925,1.0,0.022766821,PSEC,2007-09-06,AMC,https://www.stockwatch.com/News/Item/U-i0299026-U!PSEC-20070906/U/PSEC,https://www.stockwatch.com/Quote/Fundamentals?U:PSEC,16.52,16.08,17.29,15.85,17.24,17.13,127665.0,11,1,0.07213930348258701,2.38,9,36,3,0.579078914673118,1.072139303482587
2007-09-26,0.4808,1.0,0.020075157,GRT,2007-09-06,AMC,https://www.stockwatch.com/News/Item/U-pCLTH079-U!GRT-20070906/U/GRT,https://www.stockwatch.com/Quote/Fundamentals?U:GRT,22.56,22.02,25.1,21.59,23.95,23.86,302935.0,20,1,0.08764759309718428,2.13,9,36,3,0.5016411648752116,1.0876475930971843
2007-09-19,0.46,1.0,0.048574446,RAS,2007-09-10,AMC,https://www.stockwatch.com/News/Item/U-b006490-U!RAS-20070910/U/RAS,https://www.stockwatch.com/Quote/Fundamentals?U:RAS,8.32,8.6,9.59,7.9,9.47,9.47,2138265.0,9,1,0.10116279069767464,5.53,9,37,0,0.5843825317048412,1.1011627906976746
2007-09-20,0.62,1.0,0.030784508,BRT,2007-09-10,AMC,https://www.stockwatch.com/News/Item/U-b006432-U!BRT-20070910/U/BRT,https://www.stockwatch.com/Quote/Fundamentals?U:BRT,19.76,19.25,20.5,17.81,20.14,19.64,69170.0,10,1,0.04623376623376618,3.14,9,37,0,0.7209091391587706,1.0462337662337662
2007-11-13,1.5,1.0,0.025623505,MCD,2007-09-12,AMC,https://www.stockwatch.com/News/Item/U-pAQW185-U!MCD-20070912/U/MCD,https://www.stockwatch.com/Quote/Fundamentals?U:MCD,51.2,52.69,59.92,52.66,58.54,58.5,7085975.0,62,1,0.1110267602960715,2.93,9,37,2,0.9554694126686214,1.1110267602960715
2007-09-26,0.405,1.0,0.020169323,IWA,2007-09-14,DAY,https://www.stockwatch.com/News/Item/U-b005091-U!IWA-20070914/U/IWA,https://www.stockwatch.com/Quote/Fundamentals?U:IWA,19.63,19.71,21.26,19.71,20.08,19.9,285525.0,12,1,0.01877219685438858,2.06,9,37,4,0.4777316191058554,1.0187721968543886
